PROVINCE,Case_Lag1,Case_Lag2,Case_Lag3,Case_ratio
Si Sa Ket,-0.457479107,-0.505738148,-0.322414712,0.781030866
Si Sa Ket,0.262444168,-0.448831332,-0.505286977,1.419219904
Si Sa Ket,1.152561417,0.273445631,-0.444501969,2.03054924
Si Sa Ket,2.005215964,1.166472993,0.326998067,2.118703055
Si Sa Ket,2.128168924,2.021915174,1.280885118,1.079504487
Si Sa Ket,0.678741695,2.145270111,2.194625564,0.332689455
Si Sa Ket,-0.362882184,0.691104184,2.326387123,0.196875651
Si Sa Ket,-0.552309143,-0.353925137,0.773119992,0.733099013
Si Sa Ket,0.195590985,-0.543971401,-0.343127931,1.065873711
Si Sa Ket,0.659730104,0.206373881,-0.546125821,1.58206146
Si Sa Ket,1.379685464,0.672030438,0.255355386,0.991285514
Si Sa Ket,0.555697856,1.39433959,0.752746372,0.692168319
Si Sa Ket,0.138502701,0.56765807,1.524280792,1.968600149
Si Sa Ket,1.91881217,0.149098955,0.641261043,2.34217476
Si Sa Ket,2.439857166,1.935228894,0.194177183,1.90779187
Si Sa Ket,1.833999529,2.457977374,2.102031627,4.202747606
Si Sa Ket,5.034900143,1.850138971,2.660405341,3.279314046
Si Sa Ket,3.746936719,5.061504476,2.011142836,1.242040421
Si Sa Ket,0.905439476,3.769330238,5.441362451,0.570319358
Tak,-0.586214452,-0.266718406,-0.306792792,0.440463674
Tak,-0.517355366,-0.576616885,-0.249838019,0.095708434
Tak,-0.766155754,-0.506579758,-0.567351841,0.325198275
Tak,-0.600539239,-0.759636621,-0.495593645,0.401546528
Tak,-0.545440802,-0.59118674,-0.754869044,1.719982953
Tak,0.406038556,-0.535145679,-0.582279731,3.301936309
Tak,1.547690846,0.432611578,-0.524861536,2.28678145
Tak,0.815081465,1.593795244,0.46667707,1.104305459
Tak,-0.038278982,0.848652389,1.656395282,0.513616545
Tak,-0.464562948,-0.01930734,0.892941531,0.779310633
Tak,-0.272818822,-0.452884168,0.003652845,0.36072365
Tak,-0.574901552,-0.257859685,-0.440578557,0.227676767
Tak,-0.670917833,-0.565110444,-0.240761607,0.246325954
Tak,-0.657459227,-0.66276937,-0.555562644,0.436350667
Tak,-0.520323611,-0.649080515,-0.655621409,0.492995669
Tak,-0.479444468,-0.509598784,-0.641596168,0.75765755
Tak,-0.288445257,-0.468020281,-0.498686859,1.967807427
Tak,0.584886673,-0.273753458,-0.45608662,1.757897781
Tak,0.433400646,0.614519427,-0.257045948,1.188908054
Tak,0.022776387,0.460441779,0.653055063,1.131208923
Tak,-0.018863491,0.042792564,0.495191161,0.677943121
Tak,-0.345972972,0.000440311,0.067278772,0.545632774
Tak,-0.441457715,-0.332265356,0.023885769,0.787037304
Tak,-0.267242696,-0.429383651,-0.316995698,0.575484366
Tak,-0.419914641,-0.252188163,-0.416500546,0.153293413
Tak,-0.724598256,-0.407472018,-0.234950715,0.53595697
Tak,-0.448440477,-0.717368158,-0.394050464,0.803490977
Tak,-0.255368532,-0.436485874,-0.71156189,0.975027817
Tak,-0.131575106,-0.240110856,-0.423777297,1.279382841
Tak,0.088069556,-0.114199573,-0.222576624,1.163340657
Tak,0.004325099,0.109202768,-0.093571238,0.666674286
Tak,-0.35410538,0.024025611,0.135320918,0.837273912
Tak,-0.230988315,-0.340536893,0.048050646,0.760391221
Tak,-0.286472442,-0.215313543,-0.325470498,0.550661839
Tak,-0.437828377,-0.271746891,-0.19716995,0.891547936
Tak,-0.191820243,-0.425692223,-0.254990073,0.435850401
Tak,-0.520684639,-0.175475384,-0.412718406,0.246084884
Tak,-0.6576332,-0.509965988,-0.156352821,0.453945353
Tak,-0.507626009,-0.649257464,-0.499063087,0.434808089
Tak,-0.521436847,-0.496683952,-0.641777466,0.661165767
Tak,-0.358080727,-0.510731065,-0.485454662,0.415161705
Tak,-0.535615102,-0.34458025,-0.499846964,0.452376105
